,road_start,road_finish,line_length,street_name,Subarea
1765,RAILWAY STREET,SEAN MCDERMOTT STREET,70.0,GLOUCESTER PLACE LOWER,14
1766,GLOUCESTER PLACE,GARDINER STREET LOWER,116.0,GLOUCESTER PLACE UPPER,14
1768,MOSS STREET,DOWLINGS COURT,184.0,GLOUCESTER STREET SOUTH,16
1769,MERCER STREET LOWER,SAINT STEPHENS GREEN WEST,200.0,GLOVERS ALLEY,13
1771,OXMANTOWN ROAD,BEN EADAIR ROAD,69.0,GODFREY PLACE,1
1773,SHIP STREET GREAT,BRIDGE STREET,44.0,GOLDEN LANE,10
1774,SHIP STREET GREAT,BRIDGE STREET,163.0,GOLDEN LANE,10
1775,CONNOLLY AVENUE,SUIR ROAD,400.0,GOLDENBRIDGE AVENUE,7
1778,CONNOLLY AVENUE,GOLDENBRIDGE WALK,129.0,GOLDENBRIDGE TERRACE,7
1779,TYRCONNELL ROAD,DEVOY ROAD,1081.0,GOLDENBRIDGE WALK,7
1780,NORTH CIRCULAR ROAD,GERALDINE STREET,304.0,GOLDSMITH STREET,5
1781,BARROW STREET,SOUTH DOCK STREET,289.0,GORDON STREET,16
1796,GRIFFITH AVENUE,COLLINS AVENUE,236.0,GRACE PARK ROAD,15
1797,GRIFFITH AVENUE,COLLINS AVENUE,547.0,GRACE PARK ROAD,15
1798,RICHMOND ROAD,GRIFFITH AVENUE,116.0,GRACE PARK ROAD,15
1799,RICHMOND ROAD,GRIFFITH AVENUE,846.0,GRACE PARK ROAD,15
1800,GRACE PARK ROAD,PHILIPSBURGH AVENUE,126.0,GRACE PARK TERRACE,15
1801,GRACE PARK ROAD,PHILIPSBURGH AVENUE,345.0,GRACE PARK TERRACE,15
1802,BROOKWOOD AVENUE,MCAULEY AVENUE,484.0,GRACEFIELD AVENUE,10
1805,MCAULEY ROAD,MALAHIDE ROAD,305.0,GRACEFIELD ROAD,10
1806,MCAULEY ROAD,MALAHIDE ROAD,187.0,GRACEFIELD ROAD,10
1808,COLLEGE GREEN,SAINT STEPHENS GREEN,367.0,GRAFTON STREET,R11
1809,COLLEGE GREEN,SAINT STEPHENS GREEN,135.0,GRAFTON STREET,R11
1813,GRANBY ROW,GRANBY PLACE,99.0,GRANBY LANE,11
1814,GRANBY LANE,PARNELL SQUARE WEST,296.0,GRANBY PLACE,11
1815,PARNELL SQUARE,DOREST STREET,98.0,GRANBY ROW,11
1816,DOLPHIN ROAD,LONGS PLACE,1210.0,GRAND CANAL BANK,3
1817,C.I.E. GATES,BOND STREET,275.0,GRAND CANAL PLACE,2
1818,GRAND CANAL STREET LOWER,MISERY HILL,17.0,GRAND CANAL QUAY,23
1819,GRAND CANAL STREET LOWER,MISERY HILL,579.0,GRAND CANAL QUAY,23
1820,GRAFTON STREET,GLANWILLIAM PLACE,336.0,GRAND CANAL STREET LOWER,R14
1821,HADDINGTON STREET,MAQUAY BRIDGE,288.0,GRAND CANAL STREET UPPER,16
1823,RANELAGH ROAD,LEESON STREET UPPER,525.0,GRAND PARADE,R13
1827,GRANGE PARK ROAD,SWANS NEST ROAD,327.0,GRANGE PARK AVENUE,11
1828,GRANGE PARK CRESCENT,GRANGE PARK RISE,177.0,GRANGE PARK CLOSE,11
1829,GRANGE PARK VIEW,GRANGE PARK AVENUE,759.0,GRANGE PARK CRESCENT,11
1830,GRANGE PARK PARADE,GRANGE PARK CRESCENT,223.0,GRANGE PARK DRIVE,11
1831,GRANGE PARK DRIVE,GRANGE PARK CLOSE,232.0,GRANGE PARK GREEN,11
1832,GRANGE PARK ROAD,GRANGE PARK AVENUE,418.0,GRANGE PARK GROVE,11
1833,GRANGE PARK CRESCENT,GRANGE PARK DRIVE,314.0,GRANGE PARK RISE,11
1836,GRANGE PARK AVENUE,GRANGE PARK RISE,482.0,GRANGE PARK VIEW,11
1838,ROUNDABOUT,CITY BOUNDRY,747.0,GRANGE ROAD,5
1839,KILLBARRACK ROAD,ROUNDABOUT,995.0,GRANGE ROAD,5
1840,BRUNSWICK STREET NORTH,KIRWAN STREET,245.0,GRANGEGORMAN LOWER,2
1841,KIRWAN STREET,NORTH CIRCULAR ROAD,799.0,GRANGEGORMAN UPPER,2
1843,ARDARA AVENUE,GRANGEMORE GROVE,365.0,GRANGEMORE AVENUE,4
1851,ARDARA AVENUE,GRANGE ROAD,580.0,GRANGEMORE ROAD,4
1854,GRANTHAM STREET,HASSINGTON STREET,51.0,GRANTHAM PLACE,11
1855,GRANTHAM STREET,HASSINGTON STREET,169.0,GRANTHAM PLACE,11
1856,HEYTESBURY STREET,CAMDEN STREET,210.0,GRANTHAM STREET,11
1859,GRATTAN STREET,MOUNT STREET LOWER,146.0,GRATTAN COURT EAST,21
1861,INCHICORE ROAD,EMMET ROAD,262.0,GRATTAN CRESCENT,R02
1864,HOGAN PLACE,MOUNT STREET LOWER,164.0,GRATTAN STREET,21
1866,PIMLICO STREET,MEATH STREET,158.0,GRAY STREET,6
1867,NORTH CIRCULAR ROAD,GREAT WESTERN SQUARE,63.0,GREAT WESTERN AVENUE,2
1868,GREAT WESTERN NORTH,GREAT WESTERN SQUARE SOUTH,92.0,GREAT WESTERN SQUARE EAST,2
1869,GREAT WESTERN SQUARE EAST,GREAT WESTERN SQUARE WEST,105.0,GREAT WESTERN SQUARE NORTH,2
1870,GREAT WESTERN SQUARE EAST,GREAT WESTERN SQUARE WEST,127.0,GREAT WESTERN SQUARE SOUTH,2
1871,GREAT WESTERN SQUARE SOUTH,GREAT WESTERN SQUARE NORTH,92.0,GREAT WESTERN SQUARE WEST,2
1873,MARY'S LANE,CHANCERY STREET,132.0,GREEK STREET,7
1874,NORTH KING STREET,LITTLE BRITAIN STREET,99.0,GREEN STREET,7
1875,NORTH KING STREET,LITTLE BRITAIN STREET,64.0,GREEN STREET,7
1876,BRITAIN QUAY,BENSON STREET,46.0,GREEN STREET EAST,23
1877,BRITAIN QUAY,BENSON STREET,107.0,GREEN STREET EAST,23
1878,LITTLE BRITAIN STREET,LITTLE MARY STREET,97.0,LITTLE GREEN STREET,7
1881,GREENCASTLE AVENUE,GREENCASTLE DRIVE,456.0,GREENCASTLE CRESCENT,3
1882,MACROOM ROAD,GREENCASTLE ROAD,209.0,GREENCASTLE DRIVE,3
1883,GREENCASTLE ROAD,NEWTOWN AVENUE,278.0,GREENCASTLE PARADE,3
1884,MACROOM ROAD,GREENCASTLE ROAD,212.0,GREENCASTLE PARK,3
1887,SAINT MARGERATS AVENUE,THORNVILLE AVENUE,294.0,GREENDALE AVENUE,12
1889,HOWTH ROAD,BRIARFIELD VILLAS,574.0,GREENDALE ROAD,12
1893,GREENLEA ROAD,PARKMORE,122.0,GREENLEA AVENUE,13
1894,PARKMORE DRIVE,GREENLEA ROAD,129.0,GREENLEA DRIVE,13
1896,GREENLEA ROAD,PARKMORE DRIVE,130.0,GREENLEA PARK,13
1898,HAROLDS CROSS ROAD,GREENMOUNT COURT,131.0,GREENMOUNT AVENUE,11
1902,TERENURE ROAD NORTH,WASDALE PARK,244.0,GREENMOUNT ROAD,6
1904,HOGAN AVENUE,RAILWAY TERRACE,52.0,GREENORE TERRACE,20
1905,BLACKPITTS,DANONE AVENUE,484.0,GREENVILLE AVENUE,7
1906,MOUNTJOY SQUARE WEST,HILL STREET,53.0,GRENVILLE LANE,10
1907,BLACKPITTS,HAMMOND STREET,48.0,GREENVILLE PARADE,7
1908,MOUNTJOY SQUARE WEST,HILL STREET,134.0,GRENVILLE STREET,10
1909,SOUTH CIRCULAR ROAD,GREENVILLE AVENUE,219.0,GREENVILLE TERRACE,7
1911,CUL DE SAC,CUL DE SAC,606.0,GREENWOOD AVENUE,4
1912,GREENWOOD DRIVE,CUL DE SAC,108.0,GREENWOOD CLOSE,4
1916,GREENWOOD WALK,GREENWOOD WAY,65.0,GREENWOOD PARK,4
1917,BLUNDEN DRIVE,CUL DE SAC,255.0,GREENWOOD WALK,4
1919,MALAHIDE ROAD,BALLYGALL ROAD EAST,416.0,GRIFFITH AVENUE,R06
1920,MALAHIDE ROAD,BALLYGALL ROAD EAST,1681.0,GRIFFITH AVENUE,R06
1921,MALAHIDE ROAD,BALLYGALL ROAD EAST,1770.0,GRIFFITH AVENUE,R06
1925,GLASANAON ROAD,GRIFFITH ROAD,303.0,GRIFFITH DRIVE,6
1927,GRIFFITH ROAD,GLASANAON ROAD,309.0,GRIFFITH PARADE,6
1931,GRIFFITH AVENUE,GRACE PARK TERRACE,88.0,GRIFFITH WALK,15
1936,LEINSTER ROAD,GROSVENOR ROAD,73.0,GROSVENOR PLACE,4
1937,LEINSTER ROAD,GROSVENOR ROAD,250.0,GROSVENOR PLACE,4
1938,CHARLEVILLE ROAD,RATHGAR ROAD,376.0,GROSVENOR ROAD,4
1939,CHARLEVILLE ROAD,RATHGAR ROAD,268.0,GROSVENOR ROAD,4
1942,FINGLAS PARK,GROVE ROAD,113.0,GROVE AVENUE,3
1946,GROVE ROAD,RATHMINES ROAD LOWER,414.0,GROVE PARK,3
1947,GROVE PARK ROAD,WILLOW PARK ROAD,450.0,GROVE PARK AVENUE,3
1949,GROVE PARK ROAD,GROVE PARK CRESCENT,335.0,GROVE PARK DRIVE,3
1951,SYCAMORE ROAD,BALLYGALL ROAD WEST,342.0,GROVE ROAD,3
1952,RATHMINES ROAD LOWER,HAROLD CROSS ROAD,746.0,GROVE ROAD,R13
1954,SHERRIFF STREET LOWER,NORTH WALL ROAD,333.0,GUILD STREET,16
1955,NORTH STRAND ROAD,SHAMROCK PLACE,52.0,GUILDFORD PLACE,16
1959,GURTEEN ROAD,DRUMFINN AVENUE,261.0,GURTEEN AVENUE,1
1960,GURTEEN ROAD,DRUMFINN AVENUE,256.0,GURTEEN PARK,1
1962,HADDINGTON ROAD,SAINT MARY'S ROAD,154.0,HADDINGTON PLACE,15
1963,BAGGOT STREET UPPER,SHELBOURNE ROAD,760.0,HADDINGTON ROAD,15
1965,CLONTARF ROAD,VICTORIA ROAD,231.0,HADDON ROAD,15
1967,HALLIDAY SQUARE,AUGHRIM STREET,215.0,HALLIDAY ROAD,1
1970,NORTH KINGS STREET,MARYS LANE,97.0,HALSTON STREET,7
1971,NORTH KINGS STREET,MARYS LANE,148.0,HALSTON STREET,7
1974,EBENEZER TERRACE,RUTHEDGE TERRACE,134.0,HAMILTON STREET,7
1975,CHURCH STREET,LINCOLN LANE,124.0,HAMMOND LANE,3
1976,GREENVILLE STREET,SAINT MICHAEL'S TERRACE,153.0,HAMMOND STREET,7
1982,MEATH STREET,THOMAS COURT,172.0,HANBURY LANE,6
1983,TERENURE ROAD WEST,MAYFIELD ROAD,185.0,HANNAVILLE PARK,7
1984,FRANCIS STREET,PATRICK STREET,57.0,HANOVER LANE,6
1985,FRANCIS STREET,PATRICK STREET,69.0,HANOVER LANE,6
1986,CANAL BANK,GRAND CANAL QUAY,320.0,HANOVER QUAY,23
1987,CANAL BANK,GRAND CANAL QUAY,178.0,HANOVER QUAY,23
1989,MACKEN STREET,TOWNSEND STREET,191.0,HANOVER STREET EAST,19
1990,MACKEN STREET,TOWNSEND STREET,233.0,HANOVER STREET EAST,19
1991,THE COOMBE,CARMAN'S HALL,43.0,HANOVER STREET WEST,6
1992,THE COOMBE,CARMAN'S HALL,67.0,HANOVER STREET WEST,6
1993,EDEN QUAY,ABBEY STREET LOWER,160.0,HARBOUR COURT,15
1997,CAMDEN STREET UPPER,PETERS PLACE,291.0,HARCOURT ROAD,R03
1999,HARCOURT ROAD,CUFFE STREET,125.0,HARCOURT STREET,14
2000,HARCOURT ROAD,CUFFE STREET,378.0,HARCOURT STREET,14
2001,HARCOURT ROAD,CUFFE STREET,155.0,HARCOURT STREET,14
2002,ADELAIDE ROAD,CHARLEMONT PLACE,164.0,HARCOURT TERRACE,15
2005,FERGUSON ROAD,WALSH ROAD,257.0,HARDIMAN ROAD,14
2006,HARDWICKE STREET,DOREST STREET UPPER,181.0,HARDWICKE LANE,10
2007,DOREST STREET UPPER,GEORGES PLACE,90.0,HARDWICKE PLACE,10
2008,HARDWICKE PLACE,FREDERICK STREET NORTH,194.0,HARDWICKE STREET,10
2010,BROOKWOOD CRESCENT,EDENMORE ROAD,149.0,HARMONSTOWN ROAD,10
2011,BROOKWOOD CRESCENT,EDENMORE ROAD,700.0,HARMONSTOWN ROAD,10
2012,BROOKWOOD CRESCENT,EDENMORE ROAD,164.0,HARMONSTOWN ROAD,10
2014,HOGAN PLACE,ERNE PLACE,100.0,HARMONY ROW,20
2015,EMMET STREET,O'HARA AVENUE,544.0,HAROLD'S CROSS COTTAGES,3
2016,MANOR PLACE,HALLIDAY ROAD,155.0,HAROLD ROAD,1
2017,GROVE ROAD,ASHDALE ROAD,404.0,HAROLD'S CROSS ROAD,R10
2018,GROVE ROAD,ASHDALE ROAD,1786.0,HAROLD'S CROSS ROAD,R10
2019,REUBEN STREET,SOUTH CIRCULAR ROAD,140.0,HAROLDVILLE AVENUE,2
2021,HEYTESBURY STREET,CAMDEN STREET UPPER,235.0,HARRINGTON STREET,R03
2022,RATHGAR AVENUE,BRIGHTON ROAD,211.0,HARRISON ROW,4
2023,GRAFTON STREET,BALFE STREET,52.0,HARRY STREET,13
2029,ADELAIDE ROAD,HATCH STREET LOWER,112.0,HATCH LANE,14
2030,HATCH STREET LOWER,HATCH LANE,204.0,HATCH PLACE,14
2031,EARLSFORT TERRACE,LEESON STREET LOWER,234.0,HATCH STREET LOWER,14
2032,HARCOURT STREET,EARLSFORT TERRACE,280.0,HATCH STREET UPPER,14
2037,O'CONNELL GARDENS,HAVELOCK SQUARE,33.0,HAVELOCK TERRACE,16
2038,BRIAN ROAD,MARINO MART,191.0,HAVERTY ROAD,15
2039,BURGH QUAY,TOWNSEND STREET,147.0,HAWKINS STREET,16
2041,WEST ROAD,CHURCH ROAD,143.0,HAWTHORN TERRACE,16
2042,SMITHFIELD,QUEEN STREET,84.0,HAYMARKET,3
2044,DONNYCARNEY ROAD,COLLINS AVENUE,303.0,HAZEL ROAD,13
2045,HAZELBROOK DRIVE,HAZELBROOK ROAD,322.0,HAZELBROOK DRIVE,12
2046,LOWER KIMMAGE ROAD,TERENURE ROAD WEST,491.0,HAZELBROOK ROAD,12
2051,KILMORE ROAD,HAZELWOOD PARK,251.0,HAZELWOOD DRIVE,9
2053,ARDLEE ROAD,HAZELWOOD DRIVE,698.0,HAZELWOOD PARK,9
2056,HENDRICK STREET,BENBURB STREET,51.0,HENDRICK LANE,3
2057,WOOD LANE,HENDRICK LANE,60.0,HENDRICK PLACE,1
2058,BLACKHALL PLACE,QUEEN STREET,136.0,HENDRICK STREET,3
2060,NORTH KINGS STREET,HENRIETTA STREET,206.0,HENRIETTA PLACE,6
2063,MOORE STREET,HENRY STREET,141.0,HENRY PLACE,12
2064,O'CONNELL STREET,MARY STREET,275.0,HENRY STREET,12
2067,MOUNT STREET CRESCENT,HERBERT STREET,247.0,HERBERT LANE,22
2068,MOREHAMPTON ROAD,PEMBROKE ROAD,276.0,HERBERT PARK,13
2069,MOREHAMPTON ROAD,PEMBROKE ROAD,531.0,HERBERT PARK,13
2071,PEMBROKE STREET,BATH STREET,48.0,HERBERT PLACE,16
2072,MOUNT STREET CRESCENT,BAGGOT STREET LOWER,291.0,HERBERT PLACE,22
2073,TRITONVILLE ROAD,LANSDOWNE ROAD,275.0,HERBERT ROAD,17
2074,BAGGOT STREET LOWER,MOUNT SAINT CRESCENT,237.0,HERBERT STREET,22
2075,HERBERTON ROAD,DOLPHIN ROAD,306.0,HERBERTON DRIVE,8
2077,SOUTH CIRCULAR ROAD,HERBERTON ROAD,15.0,HERBERTON BRIDGE,3
2078,CRUMLIN ROAD,DOLPHIN ROAD,283.0,HERBERTON ROAD,8
2079,CRUMLIN ROAD,DOLPHIN ROAD,115.0,HERBERTON ROAD,8
2081,WELLINGTON ROAD,PEMBROKE LANE,342.0,HEYTESBURY LANE,13
2082,CAMDEN ROW,HARRINGTON STREET,408.0,HEYTESBURY STREET,11
2088,RATHMINES ROAD UPPER,RATHGAR ROAD,28.0,HIGHFIELD ROAD,R09
2089,RATHMINES ROAD UPPER,RATHGAR ROAD,658.0,HIGHFIELD ROAD,R09
2090,GARDINER PLACE,PARNELL STREET,273.0,HILL STREET,10
2095,HOLLES STREET,GRATHAM STREET,175.0,HOGAN PLACE,R14
2097,GRATHAM ROW,HOLLES STREET,117.0,HOLLES ROW,21
2098,MERRION SQUARE NORTH,FENIAN STREET,169.0,HOLLES STREET,21
2102,IONA CRESCENT,DRUMCONDRA ROAD LOWER,522.0,HOLLYBANK ROAD,13
2106,CLONTARF ROAD,HOLLYBROOK PARK,415.0,HOLLYBROOK ROAD,15
2110,HOLYWELL ROAD,DONAGHMEDE ROAD,145.0,HOLYWELL AVENUE,5
2111,HOLYWELL AVENUE,HOLYWELL ROAD,280.0,HOLYWELL CRESCENT,5
2112,HOLYWELL AVENUE,HOLYWELL CRESCENT,200.0,HOLYWELL ROAD,5
2113,PEMBROKE COTTAGES,AUBURN ROAD,385.0,HOME VILLAS,13
2115,MOBHI ROAD,DRUMCONDRA ROAD UPPER,888.0,HOME FARM ROAD,14
2116,SERPENTINE PARK,SERPENTINE AVENUE,77.0,HOMELEE,17
2117,LEINSTER STREET,EAST WALL ROAD,97.0,HOPE AVENUE,16
2118,GORDON STREET,SOUTH DOCK STREET,88.0,HOPE STREET,16
2121,SOUTH DOCK STREET,GORDON STREET,70.0,HOWARD STREET,16
2123,BROOKWOOD AVENUE,CLONTARF ROAD,747.0,HOWTH ROAD,R02
2124,BROOKWOOD AVENUE,CLONTARF ROAD,1570.0,HOWTH ROAD,R02
2125,BROOKWOOD AVENUE,CLONTARF ROAD,4802.0,HOWTH ROAD,R02
2126,GRANGE ROAD,HOLLYWELL ROAD,365.0,HOWTH VIEW PARK,5
2127,PERCY PLACE,HERBERT PLACE,29.0,HUBAND BRIDGE,R13
2128,BLUEBELL ROAD,LA TOUCHE ROAD,357.0,HUBAND ROAD,6
2135,NEW CADRA ROAD,BREGIARD,143.0,IMAAL ROAD,12
2136,CLADDAGH ROAD,SPIDDAL ROAD,146.0,INAGH ROAD,2
2137,INCHICORE TERRACE SOUTH,C.I.E. ENTRANCE,205.0,INCHICORE PARADE,5
2138,SOUTH CIRCULAR ROAD,SARSFIELD ROAD,762.0,INCHICORE ROAD,R02
2145,NORTH CIRCULAR ROAD,PARKGATE STREET,497.0,INFIRMARY ROAD,R05
2146,O'DONAVAN ROAD,GREENVILLE AVENUE,86.0,INGRAM ROAD,7
2147,GLENGARRIFF PARADE,DOREST STREET LOWER,340.0,INNISFALLEN PARADE,4
2149,CHURCH STREET,CHARLES STREET WEST,263.0,INNS QUAY,R01
2150,DRUMCLIFF ROAD,FAUSSAGH ROAD,306.0,INVER ROAD,11
2152,MELROSE AVENUE,LOMOND AVENUE,149.0,INVERNESS ROAD,15
2154,IONA ROAD,IONA CRESCENT,161.0,IONA DRIVE,13
2155,IONA CRESCENT,LINDSAY ROAD,226.0,IONA PARK,13
2156,SAINT COLUMBUS ROAD UPPER,BOTANIC ROAD,586.0,IONA ROAD,13
2158,IRISHTOWN ROAD,ROSARY TERRACE,50.0,IRISHTOWN LANE,17
2159,THOMAS STREET EAST,LONDON BRIDGE ROAD,350.0,IRISHTOWN ROAD,17
2161,ABERCORN ROAD,CHURCH STREET EAST,170.0,IRVINE TERRACE,16
2163,MILITARY ROAD,BOW BRIDGE,91.0,IRWIN STREET,1
2164,BRIDGEFOOT STREET,WALTING STREET,376.0,ISLAND STREET,4
2165,HOGAN AVENUE,RAILWAY TERRACE,46.0,ISLAND VILLA,20
2167,HAROLD ROAD,MANOR PLACE,157.0,IVAR STREET,1
2170,INNISMAAN ROAD,IVERAGH ROAD,140.0,IVELEARY ROAD,8
2171,SWORDS ROAD,IVELEARY,829.0,IVERAGH ROAD,8
2172,SWORDS ROAD,IVELEARY,217.0,IVERAGH ROAD,8
2174,MOUNT BROWN,WATLING STREET,188.0,"JAMES'S STREET
JAMES'S STREET",22
2175,MOUNT PROSPECT AVENUE,HOWTH ROAD,2340.0,JAMES LARKIN ROAD,R03
2177,MOUNT STREET UPPER,BAGGOT STREET LOWER,849.0,JAMES STREET EAST,R02
2178,SPENCER STREET,STONEY ROAD,65.0,JAMES STREET NORTH,16
2179,JAMESTOWN ROAD,RING TERRACE,396.0,JAMESTOWN AVENUE,5
2182,CHURCH STREET,CITY BOUNDRY,2187.0,JAMESTOWN ROAD,5
2186,MARY STREET,ABBEY STREET UPPER,267.0,JERVIS LANE LOWER,12
2187,STRAND STREET,PARNELL STREET,372.0,JERVIS STREET,12
2188,HANOVER LANE,BACK LANE,428.0,JOHN DILLON STREET,6
2190,EAST WALL ROAD,ALFIE BYRNE ROAD,25.0,JOHN MC CORMACK BRIDGE,R03
2192,GREENVILLE PARADE,SAINT MICHAELS TERRACE,78.0,SAINT JOHN'S STREET,7
2193,BENBURB STREET,ELLIS QUAY,51.0,JOHN STREET NORTH,1
2194,MULLINAHACK,THOMAS STREET,123.0,JOHN STREET WEST,5
2195,SAINT AUGUSTINE STREET,THOMAS STREET,143.0,JOHN'S LANE WEST,4
2196,SUMMER STREET SOUTH,PIMLICO,102.0,JOHN STREET SOUTH,6
2197,FISHAMBLE STREET,WINETAVERN STREET,82.0,JOHNS LANE EAST,9
2198,CLAREDON STREET,GRAFTON STREET,77.0,JOHNSON'S COURT,13
2199,SOUTH KING STREET,WILLIAM STREET SOUTH,53.0,JOHNSON'S PLACE,13
2201,CLONCLIFFE ROAD,RUSSELL STREET,194.0,JONES'S ROAD,8
2202,CLONCLIFFE ROAD,RUSSELL STREET,101.0,JONES'S ROAD,8
2204,SOUTH DOCK STREET,GORDON STREET,100.0,JOY STREET,16
2205,FERGUSON ROAD,WALSH ROAD,214.0,JOYCE ROAD,14
2207,RAVENSTOWN LANE,OLD KILMAINHAIM,93.0,KEARN'S PLACE,1
2209,SLIEVENNAMON ROAD,HERBERTON ROAD,96.0,KEEPER ROAD,8
2210,SLIEVENNAMON ROAD,HERBERTON ROAD,541.0,KEEPER ROAD,8
2212,PHIBSBOROUGH ROAD,ROYAL CANAL BANK,76.0,KELLY'S LANE,5
2213,NERNEYS COURT,DOREST STREET LOWER,103.0,KELLYS ROW,10
2214,NERNEYS COURT,DOREST STREET LOWER,101.0,KELLYS ROW,10
2215,NAVAN ROAD,KEMPTON PARK,334.0,KEMPTON AVENUE,9
2217,KEMPTON AVENUE,CUL DE SAC,360.0,KEMPTON GREEN,9
2222,KEMPTON WAY,KEMPTON VIEW,110.0,KEMPTON RISE,9
2224,KEMPTON AVENUE,KEMPTON LAWN,211.0,KEMPTON WAY,9
2225,KENILWORTH ROAD,HAROLD'S CROSS ROAD,520.0,KENILWORTH LANE,4
2226,LOWER KIMMAGE ROAD,HAROLD'S CROSS ROAD,154.0,KENILWORTH PARK,12
2227,LOWER KIMMAGE ROAD,HAROLD'S CROSS ROAD,327.0,KENILWORTH PARK,12
2228,GROSVENOR PLACE,KENILWORTH SQUARE EAST,202.0,KENILWORTH ROAD,4
2229,KENILWORTH ROAD,KENILWORTH SQUARE SOUTH,234.0,KENILWORTH SQUARE EAST,4
2230,HAROLD'S CROSS ROAD,KENILWORTH SQUARE EAST,322.0,KENILWORTH SQUARE NORTH,4
2231,RATHGAR AVENUE,KENILWORTH SQUARE EAST,246.0,KENILWORTH SQUARE SOUTH,4
2232,KENILWORTH SQUARE NORTH,KENILWORTH SQUARE SOUTH,223.0,KENILWORTH SQUARE WEST,4
2233,DERRYNANE PARADE,KILARNEY PARADE,70.0,KENMARE PARADE,4
2235,BRIDE STREET,WEXFORD STREET,212.0,KEVIN STREET LOWER,R04
2236,PATRICK STREET,BRIDE STREET,220.0,KEVIN STREET UPPER,R04
2237,BULFIN ROAD,O'LEARY ROAD,482.0,KICKHAM ROAD,7
2238,KILBARRACK ROAD,GREENDALE AVENUE,299.0,KILBARRACK AVENUE,12
2241,RAHENY ROAD,HOWTH ROAD,1936.0,KILBARRACK ROAD,R04
2242,KILBARRON ROAD,CROMCASTLE ROAD,337.0,KILBARRON AVENUE,7
2243,KILBARRON ROAD,CROMCASTLE ROAD,316.0,KILBARRON DRIVE,7
2244,CROMCASTLE ROAD,KILBARRON ROAD,347.0,KILBARRON PARK,7
2245,DUNDANIEL ROAD,KILMORE ROAD,128.0,KILBARRON ROAD,7
2246,DUNDANIEL ROAD,KILMORE ROAD,780.0,KILBARRON ROAD,7
2247,KILLESTER AVENUE,CLANAWLEY ROAD,159.0,KILBRIDE ROAD,14
2250,CRUMLIN ROAD,SUNDRIVE ROAD,170.0,KILDARE ROAD,10
2251,CRUMLIN ROAD,SUNDRIVE ROAD,1048.0,KILDARE ROAD,10
2252,CRUMLIN ROAD,SUNDRIVE ROAD,380.0,KILDARE ROAD,10
2253,NASSAU STREET,ST. STEPHEN'S GREEN NORTH,385.0,KILDARE STREET,17
2254,KILDONAN ROAD,CASEMENT ROAD,346.0,KILDONAN AVENUE,1
2255,FINGLASWOOD ROAD,KILDONAN ROAD,258.0,KILDONAN DRIVE,1
2256,MELLOWEES ROAD,CAPPAGH AVENUE,310.0,KILDONAN ROAD,1
2257,MELLOWEES ROAD,CAPPAGH AVENUE,366.0,KILDONAN ROAD,1
2258,ARDARA AVENUE,STREAMVILLE ROAD,290.0,KILFENORA DRIVE,4
2259,STANAWAY ROAD,BANGOR ROAD,330.0,KILFENORA ROAD,10
2260,BANNON ROAD,BROOMBRIDGE ROAD,728.0,KILKIERAN ROAD,11
2262,DRUMCLIFFE ROAD,CARNLOUGH ROAD,756.0,KILLALA ROAD,11
2263,DRUMCLIFFE ROAD,CARNLOUGH ROAD,224.0,KILLALA ROAD,11
2264,CHURCH ROAD,SAINT MARY'S ROAD NORTH,133.0,KILLAN ROAD,16
2266,NORTH CIRCULAR ROAD,INISFALLEN PARADE,123.0,KILLARNEY PARADE,4
2267,BUCKINGHAM STREET LOWER,PORTLAND ROW,184.0,KILLARNEY STREET,14
2270,LE FANU ROAD,CO. BDY.,675.0,KILLEEN ROAD,2
2271,MALAHIDE ROAD,COLLINS AVENUE EAST,407.0,KILLESTER AVENUE,14
2272,MALAHIDE ROAD,COLLINS AVENUE EAST,319.0,KILLESTER AVENUE,14
2273,MALAHIDE ROAD,COLLINS AVENUE EAST,503.0,KILLESTER AVENUE,14
2276,BOW BRIDGE,SOUTH CIRCULAR ROAD,664.0,KILMAINHAM LANE,1
2277,KILMORE ROAD,COOLOCK AVENUE,424.0,KILMORE AVENUE,9
2278,KILMORE DRIVE,COOLOCK AVENUE,315.0,KILMORE CLOSE,9
2282,MALAHIDE ROAD,OSCAR TRAYNOR,418.0,KILMORE ROAD,9
2283,MALAHIDE ROAD,OSCAR TRAYNOR,510.0,KILMORE ROAD,9
2284,MALAHIDE ROAD,OSCAR TRAYNOR,280.0,KILMORE ROAD,9
2285,MALAHIDE ROAD,OSCAR TRAYNOR,721.0,KILMORE ROAD,9
2287,WALKINSTOWN ROAD,WALKINSTOWN DRIVE,504.0,KILNAMANAGH ROAD,9
2288,RATHOATH ROAD,DEANSTOWN ROAD,300.0,KILSHANE ROAD,5
2289,RATHOATH ROAD,DEANSTOWN ROAD,95.0,KILSHANE ROAD,5
2290,DAVITT ROAD,COOLEY ROAD,1062.0,KILWORTH ROAD,8
2292,HAROLDS CROSS ROAD,KIMMAGE ROAD WEST,878.0,KIMMAGE ROAD LOWER,R11
2293,HAROLDS CROSS ROAD,KIMMAGE ROAD WEST,1000.0,KIMMAGE ROAD LOWER,R11
2294,FORTFIELD ROAD,SAINT AGNES ROAD,1438.0,KIMMAGE ROAD WEST,R09
2295,FINDLATER STREET,SULLIVAN STREET,103.0,KINAHAN STREET,1
